id,type,pid,addon,name,url_path,title,description,icon,menutype,extend,createtime,updatetime,weigh,status
50,action,47,0,admin.admin.rule.delete,/admin/admin/rule/delete,Delete,None,None,addtabs,None,2024/1/22 14:32,2024/1/22 14:32,49,normal
51,menu,35,0,admin.admin.log,/admin/adminl/log,Admin Log,None,None,addtabs,None,2024/1/22 14:32,2024/1/22 14:32,50,normal
52,action,51,0,admin.admin.log.delete,/admin/admin/log/delete,Delete,None,None,addtabs,None,2024/1/22 14:32,2024/1/22 14:32,51,normal
53,menu,0,0,admin.users,/admin/users,User Manage,None,None,addtabs,None,2024/1/22 14:32,2024/1/22 14:32,24,normal
54,menu,53,0,admin.user.user,/admin/user/user,User Manage,None,None,addtabs,None,2024/1/22 14:32,2024/1/22 14:32,24,normal
55,action,54,0,admin.user.user.add,/admin/user/user/add,Add,None,None,addtabs,None,2024/1/22 14:32,2024/1/22 14:32,54,normal
56,action,54,0,admin.user.user.edit,/admin/user/user/edit/{id},Edit,None,None,addtabs,None,2024/1/22 14:32,2024/1/22 14:32,53,normal
57,action,54,0,admin.user.user.save,/admin/user/user/save,Save,None,None,addtabs,None,2024/1/23 14:32,2024/1/23 14:32,55,normal
58,action,54,0,admin.user.user.delete,/admin/user/user/delete,Del,None,None,addtabs,None,2024/1/22 14:32,2024/1/22 14:32,55,normal
59,menu,53,0,admin.user.group,/admin/user/group,User Group,None,None,addtabs,None,2024/1/22 14:32,2024/1/22 14:32,25,normal
60,action,59,0,admin.user.group.add,/admin/user/group/add,Add,None,None,addtabs,None,2024/1/22 14:32,2024/1/22 14:32,56,normal
61,action,59,0,admin.user.group.edit,/admin/user/group/edit/{id},Edit,None,None,addtabs,None,2024/1/22 14:32,2024/1/22 14:32,57,normal
62,action,59,0,admin.user.group.save,/admin/user/group/save,Save,None,None,addtabs,None,2024/1/23 14:32,2024/1/23 14:32,58,normal
63,action,59,0,admin.user.group.delete,/admin/user/group/delete,Del,None,None,addtabs,None,2024/1/22 14:32,2024/1/22 14:32,58,normal
64,menu,53,0,admin.user.rule,/admin/user/rule,User Rule,None,None,addtabs,None,2024/1/22 14:32,2024/1/22 14:32,26,normal
65,action,65,0,admin.user.rule.add,/admin/user/rule/add,Add,None,None,addtabs,None,2024/1/22 14:32,2024/1/22 14:32,61,normal
66,action,65,0,admin.user.rule.edit,/admin/user/rule/edit/{id},Edit,None,None,addtabs,None,2024/1/22 14:32,2024/1/22 14:32,62,normal
67,action,65,0,admin.user.rule.save,/admin/user/rule/save,Save,None,None,addtabs,None,2024/1/23 14:32,2024/1/23 14:32,63,normal
68,action,65,0,admin.user.rule.delete,/admin/user/rule/delete,Del,None,None,addtabs,None,2024/1/22 14:32,2024/1/22 14:32,60,normal
69,menu,53,0,admin.user.balance.log,/admin/user/balance/log,User Balance Log,None,None,addtabs,None,2024/1/22 14:32,2024/1/22 14:32,25,normal
70,action,69,0,admin.user.balance.log.delete,/admin/user/balance/log/delete,Del,None,None,addtabs,None,2024/1/22 14:32,2024/1/22 14:32,58,normal
71,menu,53,0,admin.user.score.log,/admin/user/score/log,User Score Log,None,None,addtabs,None,2024/1/22 14:32,2024/1/22 14:32,25,normal
72,action,71,0,admin.user.score.log.delete,/admin/user/score/log/delete,Del,None,None,addtabs,None,2024/1/22 14:32,2024/1/22 14:32,58,normal
